,Load_kWh,PV_kWh,Price_EUR_kWh,Band,Grid_Import_kWh,Batt_Ch_kWh,Batt_Dis_kWh,SOC_kWh,PV_Use_kWh,PV_Ch_kWh,PV_Curt_kWh
2025-07-20 03:00:00,40.44181376597368,0.04065445299999999,0.106513,F3,40.44181376597368,0.04065445299999999,0.0,1.0,0.0,0.04065445299999999,0.0
2025-07-20 04:00:00,43.22278197321426,0.04065445299999999,0.106513,F3,43.22278197321426,0.04065445299999999,0.0,1.0385682005524797,0.0,0.04065445299999999,0.0
2025-07-20 05:00:00,38.81946562264408,0.04357562,0.106513,F3,38.81946562264408,0.04357562,0.0,1.0771364011049593,0.0,0.04357562,0.0
2025-07-20 06:00:00,44.20270911111227,0.56981665,0.106513,F3,44.20270911111227,0.56981665,0.0,1.1184758640011552,0.0,0.56981665,0.0
2025-07-20 07:00:00,40.98087169953447,2.597196,0.106513,F3,40.98087169953447,2.597196,0.0,1.6590514028072505,0.0,2.597196,0.0
2025-07-20 08:00:00,46.166494802399306,4.745658000000001,0.106513,F3,41.42083680239931,0.0,0.0,4.122967869770852,4.745658000000001,0.0,0.0
2025-07-20 09:00:00,41.217489659296746,7.7112217,0.106513,F3,33.50626795929674,0.0,0.0,4.122967869770852,7.7112217,0.0,0.0
2025-07-20 10:00:00,41.845733178590464,15.647128,0.106513,F3,26.198605178590462,0.0,0.0,4.122967869770852,15.647128,0.0,0.0
2025-07-20 11:00:00,43.70829832220183,16.898598000000003,0.106513,F3,26.809700322201824,0.0,0.0,4.122967869770852,16.898598000000003,0.0,0.0
2025-07-20 12:00:00,44.8629206372937,17.186668,0.106513,F3,27.676252637293697,0.0,0.0,4.122967869770852,17.186668,0.0,0.0
2025-07-20 13:00:00,44.836561452073866,15.405924,0.106513,F3,29.430637452073867,0.0,0.0,4.122967869770852,15.405924,0.0,0.0
2025-07-20 14:00:00,42.060671541533395,17.308932000000002,0.106513,F3,29.751739541533393,5.0,0.0,4.122967869770852,12.308932000000002,5.0,0.0
2025-07-20 15:00:00,48.370989361691436,14.557908,0.106513,F3,38.81308136169144,5.0,0.0,8.866384360023421,9.557908,5.0,0.0
2025-07-20 16:00:00,47.23612560611939,9.180724,0.106513,F3,38.05540160611939,0.0,0.0,13.60980085027599,9.180724,0.0,0.0
2025-07-20 17:00:00,52.92367080266709,5.1245330000000004,0.106513,F3,49.710145074677364,1.9110072720102718,0.0,13.60980085027599,3.2135257279897287,1.9110072720102718,0.0
2025-07-20 18:00:00,53.78277046166697,2.3858528000000003,0.106513,F3,53.78277046166697,2.3858528000000003,0.0,15.42274153168521,0.0,2.3858528000000003,0.0
2025-07-20 19:00:00,40.51096205865872,0.5297024,0.106513,F3,40.51096205865872,0.5297024,0.0,17.686160234652263,0.0,0.5297024,0.0
2025-07-20 20:00:00,56.908341018844055,0.09229837,0.106513,F3,56.908341018844055,0.09229837,0.0,18.188680054469536,0.0,0.09229837,0.0
2025-07-20 21:00:00,50.73068901886385,0.03261151,0.106513,F3,50.73068901886385,0.03261151,0.0,18.276241976525824,0.0,0.03261151,0.0
2025-07-20 22:00:00,43.90279354675649,0.040867730000000005,0.106513,F3,43.90279354675649,0.040867730000000005,0.0,18.307179971387033,0.0,0.040867730000000005,0.0
2025-07-20 23:00:00,46.76494894214255,0.040867730000000005,0.106513,F3,46.76494894214255,0.040867730000000005,0.0,18.34595050426727,0.0,0.040867730000000005,0.0
2025-07-21 00:00:00,48.25609097303702,0.040867730000000005,0.106513,F3,48.215223243037016,0.0,0.0,18.38472103714751,0.040867730000000005,0.0,0.0
2025-07-21 01:00:00,43.08088722437959,0.040867730000000005,0.106513,F3,43.08088722437959,0.040867730000000005,0.0,18.38472103714751,0.0,0.040867730000000005,0.0
2025-07-21 02:00:00,39.441379542834085,0.040867730000000005,0.106513,F3,39.40051181283408,0.0,0.0,18.42349157002775,0.040867730000000005,0.0,0.0
2025-07-21 03:00:00,43.276661987611504,0.04065445299999999,0.106513,F3,43.2360075346115,0.0,0.0,18.42349157002775,0.04065445299999999,0.0,0.0
2025-07-21 04:00:00,41.70850422460185,0.04065445299999999,0.106513,F3,41.70850422460185,0.04065445299999999,0.0,18.42349157002775,0.0,0.04065445299999999,0.0
2025-07-21 05:00:00,39.55180997905809,0.043362340000000006,0.106513,F3,39.55180997905809,0.043362340000000006,0.0,18.46205977058023,0.0,0.043362340000000006,0.0
2025-07-21 06:00:00,43.65290650976,0.5236764500000001,0.106513,F3,43.65290650976,0.5236764500000001,0.0,18.503196898302615,0.0,0.5236764500000001,0.0
2025-07-21 07:00:00,38.91608514872112,1.7386464000000001,0.120466,F2,37.17743874872112,0.0,0.0,19.0,1.7386464000000001,0.0,0.0
2025-07-21 08:00:00,43.52925427881674,5.2810615,0.129865,F1,38.24819277881674,0.0,0.0,19.0,5.2810615,0.0,0.0
2025-07-21 09:00:00,42.28628769431807,6.6250244,0.129865,F1,35.66126329431807,0.0,0.0,19.0,6.6250244,0.0,0.0
2025-07-21 10:00:00,50.97605559003998,17.011706999999998,0.129865,F1,33.964348590039975,0.0,0.0,19.0,17.011706999999998,0.0,0.0
2025-07-21 11:00:00,48.34021260953618,18.27264,0.129865,F1,30.06757260953618,0.0,0.0,19.0,18.27264,0.0,0.0
2025-07-21 12:00:00,40.27823155158786,20.6355,0.129865,F1,19.642731551587858,0.0,0.0,19.0,20.6355,0.0,0.0
2025-07-21 13:00:00,50.54136717400346,20.827509999999997,0.129865,F1,29.713857174003465,0.0,0.0,19.0,20.827509999999997,0.0,0.0
2025-07-21 14:00:00,45.32926456661035,20.131598,0.129865,F1,25.197666566610348,0.0,0.0,19.0,20.131598,0.0,0.0
2025-07-21 15:00:00,48.33866581631971,16.9902,0.129865,F1,31.34846581631971,0.0,0.0,19.0,16.9902,0.0,0.0
2025-07-21 16:00:00,41.380840113535434,12.991745000000002,0.129865,F1,28.389095113535433,0.0,0.0,19.0,12.991745000000002,0.0,0.0
2025-07-21 17:00:00,49.998595644201465,7.4391465,0.129865,F1,42.559449144201466,0.0,0.0,19.0,7.4391465,0.0,0.0
2025-07-21 18:00:00,67.88813191389326,2.2397397,0.129865,F1,64.42663036899326,0.0,1.221761844900001,19.0,2.2397397,0.0,0.0
2025-07-21 19:00:00,52.97255051076862,0.9046504,0.120466,F2,52.06790011076862,0.0,0.0,17.71214993727554,0.9046504,0.0,0.0
2025-07-21 20:00:00,51.35692353510272,0.037210796000000004,0.120466,F2,51.31971273910273,0.0,0.0,17.71214993727554,0.037210796000000004,0.0,0.0
2025-07-21 21:00:00,39.15056015527863,0.041577953,0.120466,F2,39.10898220227863,0.0,0.0,17.71214993727554,0.041577953,0.0,0.0
2025-07-21 22:00:00,44.112344103262984,0.041577953,0.120466,F2,44.07076615026298,0.0,0.0,17.71214993727554,0.041577953,0.0,0.0
2025-07-21 23:00:00,45.60929453545021,0.041577953,0.106513,F3,45.60929453545021,0.041577953,0.0,17.71214993727554,0.0,0.041577953,0.0
2025-07-22 00:00:00,52.516407471774926,0.041577953,0.106513,F3,52.516407471774926,0.041577953,0.0,17.75159424685377,0.0,0.041577953,0.0
2025-07-22 01:00:00,48.470484853633245,0.041577953,0.106513,F3,48.470484853633245,0.041577953,0.0,17.791038556432,0.0,0.041577953,0.0
2025-07-22 02:00:00,40.2548219177301,0.041577953,0.106513,F3,40.2548219177301,0.041577953,0.0,17.83048286601023,0.0,0.041577953,0.0
2025-07-22 03:00:00,42.79750458999065,0.041577953,0.106513,F3,42.79750458999065,0.041577953,0.0,17.869927175588458,0.0,0.041577953,0.0
2025-07-22 04:00:00,40.448238500338604,0.041577953,0.106513,F3,40.448238500338604,0.041577953,0.0,17.909371485166687,0.0,0.041577953,0.0
2025-07-22 05:00:00,42.25489175174646,0.044285843,0.106513,F3,42.25489175174646,0.044285843,0.0,17.948815794744917,0.0,0.044285843,0.0
2025-07-22 06:00:00,42.96922514014226,1.0637596,0.106513,F3,42.96922514014226,1.0637596,0.0,17.990829034339104,0.0,1.0637596,0.0
2025-07-22 07:00:00,39.82068744867129,3.759683,0.120466,F2,36.06100444867129,0.0,0.0,19.0,3.759683,0.0,0.0
2025-07-22 08:00:00,43.84682565613193,9.537546,0.129865,F1,34.30927965613193,0.0,0.0,19.0,9.537546,0.0,0.0
2025-07-22 09:00:00,38.43588788910451,14.699956,0.129865,F1,23.735931889104506,0.0,0.0,19.0,14.699956,0.0,0.0
2025-07-22 10:00:00,45.49390422486685,19.046002,0.129865,F1,26.44790222486685,0.0,0.0,19.0,19.046002,0.0,0.0
2025-07-22 11:00:00,41.752074799802315,21.626866999999997,0.129865,F1,20.125207799802318,0.0,0.0,19.0,21.626866999999997,0.0,0.0
2025-07-22 12:00:00,58.49749715378528,22.498604,0.129865,F1,35.99889315378528,0.0,0.0,19.0,22.498604,0.0,0.0
2025-07-22 13:00:00,47.669267068067704,22.50757,0.129865,F1,25.161697068067703,0.0,0.0,19.0,22.50757,0.0,0.0
2025-07-22 14:00:00,42.82549175612334,21.117396,0.129865,F1,21.708095756123342,0.0,0.0,19.0,21.117396,0.0,0.0
2025-07-22 15:00:00,43.85522361617706,17.503164,0.129865,F1,25.142717161977053,0.0,1.2093424542000024,19.0,17.503164,0.0,0.0
2025-07-22 16:00:00,40.01551362615162,13.409526,0.129865,F1,26.605987626151624,0.0,0.0,17.725241124530044,13.409526,0.0,0.0
2025-07-22 17:00:00,56.802440659260526,7.823823,0.129865,F1,48.97861765926053,0.0,0.0,17.725241124530044,7.823823,0.0,0.0
2025-07-22 18:00:00,48.29668321239063,2.3402617,0.129865,F1,45.956421512390634,0.0,0.0,17.725241124530044,2.3402617,0.0,0.0
